scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector
Chief Minister Healthcare Kalyan Program,"The Chief Minister Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to senior citizens in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 19 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Health and Family Welfare,Andhra Pradesh,Healthcare
Urban Development Women Welfare Development Initiative,"The Urban Development Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to farmers in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 18 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Women and Child Development,Maharashtra,Women Welfare
Rural Development Education Abhiyan,"The Rural Development Education Abhiyan is designed to promote education development by providing targeted support to farmers in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 30 and 43 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,Tamil Nadu,Education
Chief Minister Healthcare Abhiyan,"The Chief Minister Healthcare Abhiyan is designed to promote healthcare development by providing targeted support to small business owners in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 27 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Health and Family Welfare,All India,Healthcare
Chief Minister Startup Mission,"The Chief Minister Startup Mission is designed to promote startup development by providing targeted support to women entrepreneurs in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be women entrepreneurs aged between 25 and 41 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Commerce and Industry,West Bengal,Startup
Urban Development Social Welfare Abhiyan,"The Urban Development Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to students in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be students aged between 23 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Social Justice and Empowerment,Maharashtra,Social Welfare
Smart India Education Mission,"The Smart India Education Mission is designed to promote education development by providing targeted support to rural households in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 22 and 54 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Education,Andhra Pradesh,Education
Chief Minister Energy Development Initiative,"The Chief Minister Energy Development Initiative is designed to promote energy development by providing targeted support to students in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 27 and 50 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Power,Uttar Pradesh,Energy
Chief Minister Energy Mission,"The Chief Minister Energy Mission is designed to promote energy development by providing targeted support to small business owners in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 20 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,Kerala,Energy
Rural Development Startup Mission,"The Rural Development Startup Mission is designed to promote startup development by providing targeted support to farmers in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 23 and 48 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Commerce and Industry,All India,Startup
Chief Minister Housing Samriddhi Scheme,"The Chief Minister Housing Samriddhi Scheme is designed to promote housing development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be startup founders aged between 27 and 64 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Housing and Urban Affairs,All India,Housing
Digital India Skill Development Kalyan Program,"The Digital India Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to youth in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be youth aged between 26 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Skill Development and Entrepreneurship,Telangana,Skill Development
Urban Development Healthcare Yojana,"The Urban Development Healthcare Yojana is designed to promote healthcare development by providing targeted support to self help groups in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be self help groups aged between 20 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Health and Family Welfare,Tamil Nadu,Healthcare
Pradhan Mantri Healthcare Samriddhi Scheme,"The Pradhan Mantri Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to women entrepreneurs in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be women entrepreneurs aged between 20 and 49 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Health and Family Welfare,Maharashtra,Healthcare
Urban Development Education Development Initiative,"The Urban Development Education Development Initiative is designed to promote education development by providing targeted support to urban poor families in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be urban poor families aged between 28 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Education,West Bengal,Education
Rural Development Skill Development Samriddhi Scheme,"The Rural Development Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to urban poor families in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be urban poor families aged between 30 and 43 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Skill Development and Entrepreneurship,Rajasthan,Skill Development
Pradhan Mantri Social Welfare Samriddhi Scheme,"The Pradhan Mantri Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to students in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be students aged between 18 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Social Justice and Empowerment,All India,Social Welfare
Digital India Healthcare Kalyan Program,"The Digital India Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to youth in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be youth aged between 28 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Health and Family Welfare,Rajasthan,Healthcare
Urban Development Agriculture Kalyan Program,"The Urban Development Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to startup founders in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be startup founders aged between 21 and 63 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Agriculture and Farmers Welfare,Gujarat,Agriculture
Digital India Education Samriddhi Scheme,"The Digital India Education Samriddhi Scheme is designed to promote education development by providing targeted support to rural households in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be rural households aged between 22 and 46 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Education,Rajasthan,Education
Urban Development Skill Development Yojana,"The Urban Development Skill Development Yojana is designed to promote skill development development by providing targeted support to senior citizens in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be senior citizens aged between 29 and 58 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Skill Development and Entrepreneurship,West Bengal,Skill Development
Integrated Social Welfare Samriddhi Scheme,"The Integrated Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be self help groups aged between 27 and 59 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Social Justice and Empowerment,All India,Social Welfare
Urban Development Housing Samriddhi Scheme,"The Urban Development Housing Samriddhi Scheme is designed to promote housing development by providing targeted support to small business owners in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 23 and 62 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,West Bengal,Housing
Rural Development Employment Samriddhi Scheme,"The Rural Development Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to farmers in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be farmers aged between 23 and 59 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Labour and Employment,West Bengal,Employment
National Startup Kalyan Program,"The National Startup Kalyan Program is designed to promote startup development by providing targeted support to self help groups in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be self help groups aged between 18 and 62 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Commerce and Industry,Madhya Pradesh,Startup
Chief Minister Employment Kalyan Program,"The Chief Minister Employment Kalyan Program is designed to promote employment development by providing targeted support to small business owners in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 18 and 51 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,All India,Employment
Smart India Skill Development Mission,"The Smart India Skill Development Mission is designed to promote skill development development by providing targeted support to farmers in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be farmers aged between 20 and 52 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Skill Development and Entrepreneurship,All India,Skill Development
National Women Welfare Samriddhi Scheme,"The National Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to senior citizens in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be senior citizens aged between 28 and 48 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Women and Child Development,Andhra Pradesh,Women Welfare
Pradhan Mantri Social Welfare Kalyan Program,"The Pradhan Mantri Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to small business owners in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 30 and 59 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Social Justice and Empowerment,All India,Social Welfare
Digital India Social Welfare Development Initiative,"The Digital India Social Welfare Development Initiative is designed to promote social welfare development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 19 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Social Justice and Empowerment,Telangana,Social Welfare
Digital India Healthcare Mission,"The Digital India Healthcare Mission is designed to promote healthcare development by providing targeted support to urban poor families in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be urban poor families aged between 19 and 49 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Health and Family Welfare,All India,Healthcare
Urban Development Healthcare Development Initiative,"The Urban Development Healthcare Development Initiative is designed to promote healthcare development by providing targeted support to youth in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be youth aged between 24 and 56 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Health and Family Welfare,All India,Healthcare
National Social Welfare Development Initiative,"The National Social Welfare Development Initiative is designed to promote social welfare development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be self help groups aged between 21 and 47 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Social Justice and Empowerment,All India,Social Welfare
Urban Development Housing Development Initiative,"The Urban Development Housing Development Initiative is designed to promote housing development by providing targeted support to rural households in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 28 and 47 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Housing and Urban Affairs,Karnataka,Housing
Digital India Skill Development Yojana,"The Digital India Skill Development Yojana is designed to promote skill development development by providing targeted support to students in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be students aged between 29 and 54 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Skill Development and Entrepreneurship,All India,Skill Development
Digital India Education Mission,"The Digital India Education Mission is designed to promote education development by providing targeted support to students in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be students aged between 20 and 47 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Education,Maharashtra,Education
Rural Development Energy Mission,"The Rural Development Energy Mission is designed to promote energy development by providing targeted support to students in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 22 and 53 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Power,Gujarat,Energy
Smart India Social Welfare Kalyan Program,"The Smart India Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to small business owners in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be small business owners aged between 26 and 42 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Social Justice and Empowerment,Maharashtra,Social Welfare
Urban Development Women Welfare Yojana,"The Urban Development Women Welfare Yojana is designed to promote women welfare development by providing targeted support to senior citizens in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be senior citizens aged between 23 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Women and Child Development,Karnataka,Women Welfare
Urban Development Skill Development Development Initiative,"The Urban Development Skill Development Development Initiative is designed to promote skill development development by providing targeted support to rural households in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be rural households aged between 26 and 63 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Skill Development and Entrepreneurship,Karnataka,Skill Development
Urban Development Education Samriddhi Scheme,"The Urban Development Education Samriddhi Scheme is designed to promote education development by providing targeted support to students in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be students aged between 19 and 50 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Education,Karnataka,Education
Digital India Women Welfare Mission,"The Digital India Women Welfare Mission is designed to promote women welfare development by providing targeted support to students in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be students aged between 22 and 44 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Women and Child Development,Telangana,Women Welfare
Digital India Women Welfare Development Initiative,"The Digital India Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to rural households in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be rural households aged between 28 and 59 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Women and Child Development,Karnataka,Women Welfare
Pradhan Mantri Women Welfare Development Initiative,"The Pradhan Mantri Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to students in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be students aged between 25 and 61 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Women and Child Development,Gujarat,Women Welfare
Chief Minister Startup Abhiyan,"The Chief Minister Startup Abhiyan is designed to promote startup development by providing targeted support to farmers in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 27 and 62 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Commerce and Industry,Karnataka,Startup
Rural Development Startup Abhiyan,"The Rural Development Startup Abhiyan is designed to promote startup development by providing targeted support to urban poor families in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 20 and 47 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Commerce and Industry,Tamil Nadu,Startup
Pradhan Mantri Energy Abhiyan,"The Pradhan Mantri Energy Abhiyan is designed to promote energy development by providing targeted support to small business owners in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 19 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,Rajasthan,Energy
National Startup Samriddhi Scheme,"The National Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to urban poor families in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be urban poor families aged between 26 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Commerce and Industry,Gujarat,Startup
Chief Minister Education Kalyan Program,"The Chief Minister Education Kalyan Program is designed to promote education development by providing targeted support to small business owners in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 18 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Education,Gujarat,Education
