scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector
Urban Development Social Welfare Development Initiative,"The Urban Development Social Welfare Development Initiative is designed to promote social welfare development by providing targeted support to urban poor families in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be urban poor families aged between 23 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Social Justice and Empowerment,West Bengal,Social Welfare
Smart India Women Welfare Abhiyan,"The Smart India Women Welfare Abhiyan is designed to promote women welfare development by providing targeted support to urban poor families in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 30 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Women and Child Development,Maharashtra,Women Welfare
Pradhan Mantri Energy Kalyan Program,"The Pradhan Mantri Energy Kalyan Program is designed to promote energy development by providing targeted support to students in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be students aged between 21 and 58 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Power,Maharashtra,Energy
Rural Development Skill Development Kalyan Program,"The Rural Development Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to startup founders in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be startup founders aged between 21 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Skill Development and Entrepreneurship,West Bengal,Skill Development
Rural Development Startup Mission,"The Rural Development Startup Mission is designed to promote startup development by providing targeted support to self help groups in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be self help groups aged between 27 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Commerce and Industry,Andhra Pradesh,Startup
Urban Development Agriculture Kalyan Program,"The Urban Development Agriculture Kalyan Program is designed to promote agriculture development by providing targeted support to small business owners in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 29 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,All India,Agriculture
Chief Minister Startup Development Initiative,"The Chief Minister Startup Development Initiative is designed to promote startup development by providing targeted support to women entrepreneurs in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 27 and 61 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Commerce and Industry,Karnataka,Startup
Chief Minister Housing Yojana,"The Chief Minister Housing Yojana is designed to promote housing development by providing targeted support to farmers in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 21 and 56 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Housing and Urban Affairs,Tamil Nadu,Housing
Pradhan Mantri Housing Samriddhi Scheme,"The Pradhan Mantri Housing Samriddhi Scheme is designed to promote housing development by providing targeted support to small business owners in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 19 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,West Bengal,Housing
Urban Development Energy Kalyan Program,"The Urban Development Energy Kalyan Program is designed to promote energy development by providing targeted support to youth in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be youth aged between 28 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Power,All India,Energy
Integrated Skill Development Yojana,"The Integrated Skill Development Yojana is designed to promote skill development development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be farmers aged between 26 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Skill Development and Entrepreneurship,Telangana,Skill Development
Smart India Women Welfare Samriddhi Scheme,"The Smart India Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to youth in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 28 and 59 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Women and Child Development,All India,Women Welfare
Rural Development Social Welfare Samriddhi Scheme,"The Rural Development Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to students in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 18 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Social Justice and Empowerment,Rajasthan,Social Welfare
Pradhan Mantri Skill Development Abhiyan,"The Pradhan Mantri Skill Development Abhiyan is designed to promote skill development development by providing targeted support to women entrepreneurs in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be women entrepreneurs aged between 24 and 57 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Skill Development and Entrepreneurship,Andhra Pradesh,Skill Development
Digital India Housing Yojana,"The Digital India Housing Yojana is designed to promote housing development by providing targeted support to self help groups in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be self help groups aged between 30 and 56 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Housing and Urban Affairs,West Bengal,Housing
Chief Minister Education Mission,"The Chief Minister Education Mission is designed to promote education development by providing targeted support to farmers in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 22 and 45 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,Madhya Pradesh,Education
Rural Development Startup Development Initiative,"The Rural Development Startup Development Initiative is designed to promote startup development by providing targeted support to rural households in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be rural households aged between 21 and 50 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Commerce and Industry,Tamil Nadu,Startup
Chief Minister Women Welfare Samriddhi Scheme,"The Chief Minister Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to rural households in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 18 and 63 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Women and Child Development,Kerala,Women Welfare
Pradhan Mantri Social Welfare Abhiyan,"The Pradhan Mantri Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to youth in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 24 and 48 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Social Justice and Empowerment,Gujarat,Social Welfare
National Healthcare Samriddhi Scheme,"The National Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to farmers in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be farmers aged between 23 and 59 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Health and Family Welfare,Karnataka,Healthcare
Integrated Education Yojana,"The Integrated Education Yojana is designed to promote education development by providing targeted support to small business owners in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 27 and 49 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Education,All India,Education
Digital India Social Welfare Samriddhi Scheme,"The Digital India Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to youth in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 27 and 52 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Social Justice and Empowerment,Gujarat,Social Welfare
Integrated Agriculture Mission,"The Integrated Agriculture Mission is designed to promote agriculture development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be rural households aged between 27 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Agriculture and Farmers Welfare,All India,Agriculture
Integrated Agriculture Abhiyan,"The Integrated Agriculture Abhiyan is designed to promote agriculture development by providing targeted support to urban poor families in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be urban poor families aged between 30 and 51 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Agriculture and Farmers Welfare,West Bengal,Agriculture
Digital India Skill Development Yojana,"The Digital India Skill Development Yojana is designed to promote skill development development by providing targeted support to students in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be students aged between 29 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Skill Development and Entrepreneurship,Andhra Pradesh,Skill Development
Urban Development Housing Kalyan Program,"The Urban Development Housing Kalyan Program is designed to promote housing development by providing targeted support to youth in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 27 and 64 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,Kerala,Housing
Integrated Energy Kalyan Program,"The Integrated Energy Kalyan Program is designed to promote energy development by providing targeted support to farmers in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be farmers aged between 18 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Power,All India,Energy
National Energy Abhiyan,"The National Energy Abhiyan is designed to promote energy development by providing targeted support to women entrepreneurs in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be women entrepreneurs aged between 20 and 59 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Power,Uttar Pradesh,Energy
Integrated Startup Kalyan Program,"The Integrated Startup Kalyan Program is designed to promote startup development by providing targeted support to women entrepreneurs in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 30 and 49 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Commerce and Industry,West Bengal,Startup
Digital India Healthcare Abhiyan,"The Digital India Healthcare Abhiyan is designed to promote healthcare development by providing targeted support to rural households in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be rural households aged between 19 and 45 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Health and Family Welfare,Telangana,Healthcare
Chief Minister Social Welfare Development Initiative,"The Chief Minister Social Welfare Development Initiative is designed to promote social welfare development by providing targeted support to urban poor families in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be urban poor families aged between 19 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Social Justice and Empowerment,Uttar Pradesh,Social Welfare
Smart India Education Yojana,"The Smart India Education Yojana is designed to promote education development by providing targeted support to urban poor families in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 24 and 61 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Education,All India,Education
Smart India Healthcare Mission,"The Smart India Healthcare Mission is designed to promote healthcare development by providing targeted support to youth in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 20 and 50 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Health and Family Welfare,Kerala,Healthcare
National Housing Abhiyan,"The National Housing Abhiyan is designed to promote housing development by providing targeted support to farmers in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 26 and 45 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Housing and Urban Affairs,Madhya Pradesh,Housing
Pradhan Mantri Employment Mission,"The Pradhan Mantri Employment Mission is designed to promote employment development by providing targeted support to senior citizens in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be senior citizens aged between 26 and 44 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Labour and Employment,Kerala,Employment
Digital India Housing Development Initiative,"The Digital India Housing Development Initiative is designed to promote housing development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 28 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,Uttar Pradesh,Housing
Rural Development Housing Yojana,"The Rural Development Housing Yojana is designed to promote housing development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 26 and 52 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,Tamil Nadu,Housing
Integrated Education Kalyan Program,"The Integrated Education Kalyan Program is designed to promote education development by providing targeted support to students in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be students aged between 21 and 43 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Education,West Bengal,Education
National Healthcare Development Initiative,"The National Healthcare Development Initiative is designed to promote healthcare development by providing targeted support to small business owners in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 25 and 52 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Health and Family Welfare,Karnataka,Healthcare
Digital India Employment Abhiyan,"The Digital India Employment Abhiyan is designed to promote employment development by providing targeted support to farmers in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be farmers aged between 30 and 50 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Labour and Employment,All India,Employment
Integrated Social Welfare Yojana,"The Integrated Social Welfare Yojana is designed to promote social welfare development by providing targeted support to youth in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be youth aged between 26 and 49 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Social Justice and Empowerment,Uttar Pradesh,Social Welfare
National Startup Kalyan Program,"The National Startup Kalyan Program is designed to promote startup development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be small business owners aged between 24 and 63 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Commerce and Industry,Tamil Nadu,Startup
Smart India Education Abhiyan,"The Smart India Education Abhiyan is designed to promote education development by providing targeted support to self help groups in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be self help groups aged between 21 and 55 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Education,Telangana,Education
Smart India Housing Samriddhi Scheme,"The Smart India Housing Samriddhi Scheme is designed to promote housing development by providing targeted support to senior citizens in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 30 and 48 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Housing and Urban Affairs,Karnataka,Housing
Chief Minister Healthcare Abhiyan,"The Chief Minister Healthcare Abhiyan is designed to promote healthcare development by providing targeted support to women entrepreneurs in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 20 and 65 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Health and Family Welfare,Madhya Pradesh,Healthcare
Integrated Social Welfare Abhiyan,"The Integrated Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to students in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be students aged between 18 and 47 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Social Justice and Empowerment,Maharashtra,Social Welfare
Smart India Social Welfare Samriddhi Scheme,"The Smart India Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be self help groups aged between 24 and 63 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Social Justice and Empowerment,All India,Social Welfare
Chief Minister Education Development Initiative,"The Chief Minister Education Development Initiative is designed to promote education development by providing targeted support to rural households in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 28 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Education,Maharashtra,Education
Urban Development Social Welfare Abhiyan,"The Urban Development Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to farmers in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be farmers aged between 29 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Social Justice and Empowerment,Uttar Pradesh,Social Welfare
Rural Development Startup Kalyan Program,"The Rural Development Startup Kalyan Program is designed to promote startup development by providing targeted support to senior citizens in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be senior citizens aged between 26 and 50 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Commerce and Industry,Rajasthan,Startup
Integrated Employment Samriddhi Scheme,"The Integrated Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be rural households aged between 18 and 50 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,All India,Employment
Integrated Healthcare Samriddhi Scheme,"The Integrated Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be startup founders aged between 29 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Health and Family Welfare,All India,Healthcare
