scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector,rag_text
Chief Minister Education Development Initiative,"The Chief Minister Education Development Initiative is designed to promote education development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be self help groups aged between 23 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Education,All India,Education,"
Scheme Name: Chief Minister Education Development Initiative

Sector: Education
Ministry: Ministry of Education
State: All India

Description:
The Chief Minister Education Development Initiative is designed to promote education development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be self help groups aged between 23 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
self help groups

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
National Employment Development Initiative,"The National Employment Development Initiative is designed to promote employment development by providing targeted support to women entrepreneurs in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 19 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Labour and Employment,Uttar Pradesh,Employment,"
Scheme Name: National Employment Development Initiative

Sector: Employment
Ministry: Ministry of Labour and Employment
State: Uttar Pradesh

Description:
The National Employment Development Initiative is designed to promote employment development by providing targeted support to women entrepreneurs in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be women entrepreneurs aged between 19 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Women Welfare Samriddhi Scheme,"The Integrated Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to youth in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 30 and 49 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Women and Child Development,Andhra Pradesh,Women Welfare,"
Scheme Name: Integrated Women Welfare Samriddhi Scheme

Sector: Women Welfare
Ministry: Ministry of Women and Child Development
State: Andhra Pradesh

Description:
The Integrated Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to youth in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be youth aged between 30 and 49 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
National Social Welfare Kalyan Program,"The National Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to senior citizens in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be senior citizens aged between 27 and 40 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Social Justice and Empowerment,Karnataka,Social Welfare,"
Scheme Name: National Social Welfare Kalyan Program

Sector: Social Welfare
Ministry: Ministry of Social Justice and Empowerment
State: Karnataka

Description:
The National Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to senior citizens in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be senior citizens aged between 27 and 40 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Healthcare Mission,"The Integrated Healthcare Mission is designed to promote healthcare development by providing targeted support to youth in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 28 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Health and Family Welfare,Kerala,Healthcare,"
Scheme Name: Integrated Healthcare Mission

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: Kerala

Description:
The Integrated Healthcare Mission is designed to promote healthcare development by providing targeted support to youth in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be youth aged between 28 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Smart India Education Yojana,"The Smart India Education Yojana is designed to promote education development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 21 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Education,Madhya Pradesh,Education,"
Scheme Name: Smart India Education Yojana

Sector: Education
Ministry: Ministry of Education
State: Madhya Pradesh

Description:
The Smart India Education Yojana is designed to promote education development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be senior citizens aged between 21 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Healthcare Kalyan Program,"The Chief Minister Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to senior citizens in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 19 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Health and Family Welfare,Andhra Pradesh,Healthcare,"
Scheme Name: Chief Minister Healthcare Kalyan Program

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: Andhra Pradesh

Description:
The Chief Minister Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to senior citizens in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be senior citizens aged between 19 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Women Welfare Development Initiative,"The Urban Development Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to farmers in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 18 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Women and Child Development,Maharashtra,Women Welfare,"
Scheme Name: Urban Development Women Welfare Development Initiative

Sector: Women Welfare
Ministry: Ministry of Women and Child Development
State: Maharashtra

Description:
The Urban Development Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to farmers in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be farmers aged between 18 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Education Abhiyan,"The Rural Development Education Abhiyan is designed to promote education development by providing targeted support to farmers in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 30 and 43 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,Tamil Nadu,Education,"
Scheme Name: Rural Development Education Abhiyan

Sector: Education
Ministry: Ministry of Education
State: Tamil Nadu

Description:
The Rural Development Education Abhiyan is designed to promote education development by providing targeted support to farmers in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be farmers aged between 30 and 43 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Healthcare Abhiyan,"The Chief Minister Healthcare Abhiyan is designed to promote healthcare development by providing targeted support to small business owners in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 27 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Health and Family Welfare,All India,Healthcare,"
Scheme Name: Chief Minister Healthcare Abhiyan

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: All India

Description:
The Chief Minister Healthcare Abhiyan is designed to promote healthcare development by providing targeted support to small business owners in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be small business owners aged between 27 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Startup Mission,"The Chief Minister Startup Mission is designed to promote startup development by providing targeted support to women entrepreneurs in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be women entrepreneurs aged between 25 and 41 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Commerce and Industry,West Bengal,Startup,"
Scheme Name: Chief Minister Startup Mission

Sector: Startup
Ministry: Ministry of Commerce and Industry
State: West Bengal

Description:
The Chief Minister Startup Mission is designed to promote startup development by providing targeted support to women entrepreneurs in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be women entrepreneurs aged between 25 and 41 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Social Welfare Abhiyan,"The Urban Development Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to students in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be students aged between 23 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Social Justice and Empowerment,Maharashtra,Social Welfare,"
Scheme Name: Urban Development Social Welfare Abhiyan

Sector: Social Welfare
Ministry: Ministry of Social Justice and Empowerment
State: Maharashtra

Description:
The Urban Development Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to students in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be students aged between 23 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.

Target Beneficiaries:
students

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Smart India Education Mission,"The Smart India Education Mission is designed to promote education development by providing targeted support to rural households in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 22 and 54 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Education,Andhra Pradesh,Education,"
Scheme Name: Smart India Education Mission

Sector: Education
Ministry: Ministry of Education
State: Andhra Pradesh

Description:
The Smart India Education Mission is designed to promote education development by providing targeted support to rural households in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be rural households aged between 22 and 54 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
rural households

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Energy Development Initiative,"The Chief Minister Energy Development Initiative is designed to promote energy development by providing targeted support to students in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 27 and 50 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Power,Uttar Pradesh,Energy,"
Scheme Name: Chief Minister Energy Development Initiative

Sector: Energy
Ministry: Ministry of Power
State: Uttar Pradesh

Description:
The Chief Minister Energy Development Initiative is designed to promote energy development by providing targeted support to students in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be students aged between 27 and 50 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.

Target Beneficiaries:
students

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Energy Mission,"The Chief Minister Energy Mission is designed to promote energy development by providing targeted support to small business owners in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 20 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,Kerala,Energy,"
Scheme Name: Chief Minister Energy Mission

Sector: Energy
Ministry: Ministry of Power
State: Kerala

Description:
The Chief Minister Energy Mission is designed to promote energy development by providing targeted support to small business owners in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
low-interest loans through partner banks

Eligibility:
Applicants must be small business owners aged between 20 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Startup Mission,"The Rural Development Startup Mission is designed to promote startup development by providing targeted support to farmers in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be farmers aged between 23 and 48 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Commerce and Industry,All India,Startup,"
Scheme Name: Rural Development Startup Mission

Sector: Startup
Ministry: Ministry of Commerce and Industry
State: All India

Description:
The Rural Development Startup Mission is designed to promote startup development by providing targeted support to farmers in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be farmers aged between 23 and 48 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Housing Samriddhi Scheme,"The Chief Minister Housing Samriddhi Scheme is designed to promote housing development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be startup founders aged between 27 and 64 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Housing and Urban Affairs,All India,Housing,"
Scheme Name: Chief Minister Housing Samriddhi Scheme

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: All India

Description:
The Chief Minister Housing Samriddhi Scheme is designed to promote housing development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be startup founders aged between 27 and 64 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
startup founders

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Digital India Skill Development Kalyan Program,"The Digital India Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to youth in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be youth aged between 26 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Skill Development and Entrepreneurship,Telangana,Skill Development,"
Scheme Name: Digital India Skill Development Kalyan Program

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: Telangana

Description:
The Digital India Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to youth in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be youth aged between 26 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Healthcare Yojana,"The Urban Development Healthcare Yojana is designed to promote healthcare development by providing targeted support to self help groups in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be self help groups aged between 20 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Health and Family Welfare,Tamil Nadu,Healthcare,"
Scheme Name: Urban Development Healthcare Yojana

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: Tamil Nadu

Description:
The Urban Development Healthcare Yojana is designed to promote healthcare development by providing targeted support to self help groups in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be self help groups aged between 20 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
self help groups

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
